Time Setpoint Input Output
1 150.00 25.50 2000.00
2 150.00 25.50 2000.00
3 150.00 25.50 2000.00
4 150.00 26.50 2000.00
5 150.00 27.50 2000.00
6 150.00 29.25 2000.00
7 150.00 31.50 2000.00
8 150.00 35.00 2000.00
9 150.00 38.25 2000.00
10 150.00 42.00 2000.00
11 150.00 46.25 2000.00
12 150.00 49.25 2000.00
13 150.00 53.50 2000.00
14 150.00 57.25 2000.00
15 150.00 61.25 2000.00
16 150.00 64.75 2000.00
17 150.00 68.75 2000.00
18 150.00 72.00 2000.00
19 150.00 76.00 2000.00
20 150.00 76.00 2000.00
21 150.00 83.75 2000.00
22 150.00 86.50 2000.00
23 150.00 90.00 2000.00
24 150.00 92.75 2000.00
25 150.00 95.00 2000.00
26 150.00 97.50 2000.00
27 150.00 100.00 2000.00
28 150.00 104.00 2000.00
29 150.00 107.50 2000.00
30 150.00 109.50 2000.00
31 150.00 112.75 2000.00
32 150.00 116.00 2000.00
33 150.00 119.00 2000.00
34 150.00 122.25 2000.00
35 150.00 124.50 2000.00
36 150.00 127.75 2000.00
37 150.00 129.50 2000.00
38 150.00 129.50 2000.00
39 150.00 134.75 1793.47
40 150.00 137.00 1548.85
41 150.00 139.00 1329.18
42 150.00 140.75 1134.45
43 150.00 143.00 964.68
44 150.00 145.00 729.86
45 150.00 146.25 534.98
46 150.00 147.25 425.07
47 150.00 149.00 330.14
48 150.00 151.25 140.17
49 155.00 152.75 637.86
50 155.00 154.50 375.47
51 155.00 156.25 0.00
52 155.00 158.00 0.00
53 155.00 159.00 0.00
54 155.00 160.25 0.00
55 155.00 161.00 0.00
56 155.00 161.25 0.00
57 155.00 162.00 0.00
58 160.00 162.75 0.00
59 160.00 163.00 0.00
60 160.00 163.00 0.00
61 160.00 163.00 0.00
62 160.00 163.00 0.00
63 160.00 162.50 0.00
64 160.00 162.75 0.00
65 160.00 162.25 0.00
66 160.00 162.00 0.00
67 165.00 162.00 1035.64
68 165.00 161.75 973.29
69 165.00 161.75 1110.96
70 165.00 162.00 1048.62
71 165.00 162.00 911.27
72 165.00 162.50 973.92
73 165.00 163.75 699.04
74 165.00 163.75 136.61
75 165.00 165.50 449.17
76 170.00 166.25 986.89
77 170.00 167.25 1012.08
78 170.00 168.00 649.72
79 170.00 169.00 487.32
80 170.00 170.25 124.87
81 170.00 171.00 0.00
82 170.00 171.50 0.00
83 170.00 172.50 0.00
84 170.00 173.00 0.00
85 175.00 173.00 549.71
86 175.00 173.50 674.81
87 175.00 174.25 399.88
88 175.00 174.25 112.42
89 175.00 175.25 299.96
90 175.00 175.25 0.00
91 175.00 175.75 0.00
92 175.00 176.50 0.00
93 175.00 176.75 0.00
94 180.00 176.50 987.48
95 180.00 176.75 1187.66
96 180.00 177.75 987.82
97 180.00 177.75 500.43
98 180.00 178.50 750.54
99 180.00 179.25 338.12
100 180.00 180.00 113.16
101 180.00 180.00 0.00
102 180.00 181.00 75.66
103 185.00 181.00 1025.86
104 185.00 181.25 1276.06
105 185.00 181.00 1138.74
106 185.00 181.50 1338.94
107 185.00 181.50 1001.62
108 185.00 182.75 989.28
109 185.00 183.25 501.89
110 185.00 183.75 476.98
111 185.00 183.25 327.04
112 190.00 183.50 2000.00
113 190.00 184.00 1965.21
114 190.00 185.00 1753.01
115 190.00 185.00 1328.26
116 190.00 185.50 1578.51
117 190.00 187.00 1303.73
118 190.00 187.75 603.88
119 190.00 188.50 566.49
120 190.00 189.50 341.57
121 195.00 190.50 1479.34
122 195.00 190.75 1179.57
123 195.00 191.50 1292.28
124 195.00 192.25 942.46
125 195.00 192.00 717.59
126 195.00 192.25 1042.74
127 195.00 192.75 842.88
128 195.00 192.75 630.49
129 195.00 193.00 755.61
130 200.00 193.50 2000.00
131 200.00 194.00 1906.28
132 200.00 194.00 1756.58
133 200.00 193.75 1881.88
134 200.00 193.75 2000.00
135 200.00 193.75 1957.51
136 200.00 193.75 1957.82
137 200.00 194.50 1958.13
138 200.00 194.50 1545.91
139 250.00 195.25 2000.00
140 250.00 195.50 2000.00
141 250.00 195.50 2000.00
142 250.00 195.75 2000.00
143 250.00 196.25 2000.00
144 250.00 196.25 2000.00
145 250.00 196.25 2000.00
146 250.00 196.75 2000.00
147 250.00 196.75 2000.00
148 250.00 197.50 2000.00
149 250.00 197.50 2000.00
150 250.00 197.75 2000.00
