Time Setpoint Input Output
1 150.00 25.25 2000.00
2 150.00 25.50 2000.00
3 150.00 25.25 2000.00
4 150.00 26.00 2000.00
5 150.00 26.75 2000.00
6 150.00 28.00 2000.00
7 150.00 30.25 2000.00
8 150.00 32.50 2000.00
9 150.00 35.50 2000.00
10 150.00 39.25 2000.00
11 150.00 42.75 2000.00
12 150.00 46.50 2000.00
13 150.00 50.25 2000.00
14 150.00 54.50 2000.00
15 150.00 58.25 2000.00
16 150.00 62.00 2000.00
17 150.00 65.50 2000.00
18 150.00 69.50 2000.00
19 150.00 73.75 2000.00
20 150.00 77.75 2000.00
21 150.00 81.50 2000.00
22 150.00 85.00 2000.00
23 150.00 88.25 2000.00
24 150.00 91.75 2000.00
25 150.00 95.75 2000.00
26 150.00 98.75 2000.00
27 150.00 103.00 2000.00
28 150.00 106.25 2000.00
29 150.00 109.50 2000.00
30 150.00 112.25 2000.00
31 150.00 114.75 2000.00
32 150.00 117.50 2000.00
33 150.00 120.00 2000.00
34 150.00 122.50 2000.00
35 150.00 124.50 2000.00
36 150.00 127.50 2000.00
37 150.00 130.00 2000.00
38 150.00 132.75 2000.00
39 150.00 135.75 1744.21
40 150.00 138.00 1439.56
41 150.00 140.50 1229.86
42 150.00 142.50 975.10
43 150.00 145.00 785.29
44 150.00 147.25 525.41
45 150.00 149.00 305.48
46 150.00 151.50 140.51
47 155.00 153.00 500.68
48 155.00 154.75 300.78
49 155.00 155.75 0.00
50 155.00 156.75 0.00
51 155.00 157.75 0.00
52 155.00 159.00 0.00
53 155.00 159.50 0.00
54 155.00 161.50 0.00
55 155.00 162.00 0.00
56 160.00 163.25 0.00
57 160.00 164.00 0.00
58 160.00 164.50 0.00
59 160.00 164.75 0.00
60 160.00 165.25 0.00
61 160.00 165.50 0.00
62 160.00 165.50 0.00
63 160.00 164.75 0.00
64 160.00 164.25 0.00
65 165.00 163.50 422.84
66 165.00 162.75 710.42
67 165.00 163.00 935.53
68 165.00 163.50 610.63
69 165.00 163.25 398.21
70 165.00 163.75 660.79
71 165.00 164.00 323.36
72 165.00 164.50 310.91
73 165.00 165.75 98.43
74 170.00 166.50 1036.14
75 170.00 167.75 936.32
76 170.00 168.75 436.43
77 170.00 169.50 198.99
78 170.00 171.00 36.52
79 170.00 171.25 0.00
80 170.00 172.75 0.00
81 170.00 173.75 0.00
82 170.00 174.25 0.00
83 175.00 174.75 173.62
84 175.00 175.25 23.63
85 175.00 176.00 0.00
86 175.00 176.25 0.00
87 175.00 176.50 0.00
88 175.00 177.00 0.00
89 175.00 177.00 0.00
90 175.00 176.75 0.00
91 175.00 177.00 0.00
92 180.00 177.25 910.79
93 180.00 177.00 835.93
94 180.00 175.75 1036.08
95 180.00 175.75 1661.29
96 180.00 175.25 1349.01
97 180.00 175.25 1624.24
98 180.00 174.50 1499.48
99 180.00 174.50 1912.26
100 180.00 173.25 2000.00
101 185.00 173.50 2000.00
102 185.00 173.00 2000.00
103 185.00 173.75 2000.00
104 185.00 175.00 2000.00
105 185.00 176.00 2000.00
106 185.00 178.00 2000.00
